version,transition_mode,mixer_method,method,mean_best_P_valid,median_best_P_valid,min_best_P_valid,max_best_P_valid,wins_best_by_case,cases
V5,delta_cost,local_geometric,M2 (eigen),0.3886330094706245,0.3968698690138735,0.1285431908764636,0.5992031165910932,0,10
V4,cost_phase,local_geometric,M4 (grad),0.3802792800506914,0.38847993205292886,0.1222203456598346,0.6666116819129951,0,10
V5,valid_boundary,rx_all,M2 (eigen),0.3760937420325379,0.3195371744587473,0.0920594705763733,0.7239710091940273,0,10
V5,descent,linear_valid,M4 (grad),0.3750771926358535,0.3516681406697989,0.1075648877674695,0.8887389086232876,0,10
V5,valid_boundary,linear_valid,M3 (theory),0.36000425198119074,0.38121452238910947,0.0791292172081497,0.6431907083886574,0,10
V5,valid_boundary,local_geometric,M3 (theory),0.35554854731920016,0.38121452238910947,0.0628687824538303,0.637401594029457,0,10
V5,oriented_valid,local_geometric,M3 (theory),0.3528376151981671,0.3370563312779151,0.1183717776303674,0.7825050310619207,0,10
V5,descent,local_geometric,M4 (grad),0.35135315626408314,0.3254965003193107,0.1075648877674695,0.8368358368777385,0,10
V4,cost_phase,rx_all,M4 (grad),0.34501603184837565,0.30211832099415786,0.1325212717539568,0.6523205367032301,0,10
V5,valid_boundary,local_geometric,M4 (grad),0.32456865420030706,0.3084849047331568,0.0172953645200505,0.674852915351345,0,10
V5,descent,rx_all,M4 (grad),0.3029757976404569,0.24274297922231136,0.0773371951253633,0.604887324503381,0,10
V5,oriented_valid,linear_valid,M3 (theory),0.30020795920158794,0.3301505677977902,0.07658506875375,0.5491501911978246,0,10
V5,delta_cost,linear_valid,M3 (theory),0.2968136838024603,0.3106410460595286,0.0568916494400134,0.6732435306963857,0,10
V5,valid_boundary,rx_all,M3 (theory),0.2756710726192778,0.25679897097924786,0.0202777777777777,0.5881653683279756,0,10
V5,delta_cost,local_geometric,M4 (grad),0.2729016181292075,0.29883236594400175,0.0042616897931934,0.5096107322805293,0,10
V5,delta_cost,rx_all,M3 (theory),0.27163907293950323,0.25781636613490105,0.01,0.6220485816205198,0,10
V5,valid_boundary,rx_all,M4 (grad),0.26825545040202614,0.24963735046980617,0.0705264465253928,0.5513559052148899,0,10
V5,delta_cost,local_geometric,M3 (theory),0.265606236930399,0.2768451124152486,0.0568916494400134,0.5314236982724193,0,10
V4,cost_phase,rx_all,M3 (theory),0.265170287219267,0.2629002030801959,0.0309444444444444,0.5200400636446318,0,10
V5,descent,rx_all,M3 (theory),0.246852713589085,0.20214387065673883,0.0144,0.81,0,10
V5,oriented_valid,rx_all,M3 (theory),0.24301385105870468,0.2061802657788892,0.0185444444444444,0.5755572438994172,0,10
V5,delta_cost,linear_valid,M4 (grad),0.22451832921884876,0.2481317986423687,0.0018175100914294,0.5096107322805293,0,10
V5,delta_cost,rx_all,M4 (grad),0.2160366938322189,0.23274621741727755,0.0271015015940506,0.4106724531950194,0,10
