case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
02_1d_main_reference,cost_phase,rx_all,M3 (theory),1.5707963267948966,0.5,1.1902899496825317,0.3788810584091566,1,0.2619330728724307,0.2857142857142857,0.16666666666666669,0.1878951266988822,-9,-0.41912801610521006,7,2
02_1d_main_reference,cost_phase,rx_all,M4 (grad),0.9645685945034584,0.3070317195328548,0.5235987755982988,0.16666666666666666,10,0.21754887313065088,0.2857142857142857,-0.026301613800478504,-0.02431926504360775,0,-0.4635122158469899,7,2
02_1d_main_reference,cost_phase,rx_all,M5 (hybrid),0.6872233929727672,0.21875,0.3272492347489368,0.10416666666666667,55,0.82629710474557,0.2857142857142857,-0.11458333333333331,-0.08681926504360774,45,0.14523601576792933,7,2
02_1d_main_reference,cost_phase,rx_all,Experimental,1.0471975511965976,0.3333333333333333,0.6,0.1909859317102744,10,0.6810610889776407,0.2857142857142857,0.0,0.0,0,0.0,7,2
03_1d_two_free_regions,cost_phase,local_geometric,M1 (sweep),0.1308996938995747,0.041666666666666664,0.2617993877991494,0.08333333333333333,25,0.9271491282049203,0.375,0.0,0.041666666666666664,11,0.06252770214341885,8,3
03_1d_two_free_regions,cost_phase,local_geometric,M2 (eigen),1.0471975511965976,0.3333333333333333,0.3,0.0954929658551372,14,0.6501736389114832,0.375,0.29166666666666663,0.05382629918847054,0,-0.21444778715001833,8,3
03_1d_two_free_regions,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,0.5880026035475675,0.1871670418109988,1,0.635507637428856,0.375,0.4583333333333333,0.14550037514433214,-13,-0.22911378863264553,8,3
03_1d_two_free_regions,cost_phase,local_geometric,M4 (grad),1.0583303640879,0.3368770177376692,1.5427998748365692,0.49108845256359485,14,0.40729006524044564,0.375,0.2952103510710026,0.44942178589692816,0,-0.45733136082105585,8,3
03_1d_two_free_regions,cost_phase,local_geometric,M5 (hybrid),1.0471975511965976,0.3333333333333333,1.2435470920459597,0.3958333333333333,46,0.96910800954321,0.375,0.29166666666666663,0.35416666666666663,32,0.10448658348170847,8,3
03_1d_two_free_regions,cost_phase,local_geometric,Experimental,0.1308996938995747,0.041666666666666664,0.1308996938995747,0.041666666666666664,14,0.8646214260615015,0.375,0.0,0.0,0,0.0,8,3
03_1d_two_free_regions,cost_phase,linear_valid,M1 (sweep),0.1308996938995747,0.041666666666666664,0.2617993877991494,0.08333333333333333,25,0.9271491282049203,0.375,0.008333333333333331,0.033333333333333326,11,0.02936374997779634,8,3
03_1d_two_free_regions,cost_phase,linear_valid,M2 (eigen),1.0471975511965976,0.3333333333333333,0.3,0.0954929658551372,14,0.6501736389114832,0.375,0.3,0.0454929658551372,0,-0.24761173931564084,8,3
03_1d_two_free_regions,cost_phase,linear_valid,M3 (theory),1.5707963267948966,0.5,0.5880026035475675,0.1871670418109988,1,0.635507637428856,0.375,0.4666666666666667,0.1371670418109988,-13,-0.26227774079826804,8,3
03_1d_two_free_regions,cost_phase,linear_valid,M4 (grad),1.0583303640879,0.3368770177376692,1.5427998748365692,0.49108845256359485,14,0.40729006524044564,0.375,0.3035436844043359,0.44108845256359486,0,-0.49049531298667837,8,3
03_1d_two_free_regions,cost_phase,linear_valid,M5 (hybrid),1.0471975511965976,0.3333333333333333,1.2435470920459597,0.3958333333333333,46,0.96910800954321,0.375,0.3,0.3458333333333333,32,0.07132263131608596,8,3
03_1d_two_free_regions,cost_phase,linear_valid,Experimental,0.10471975511965977,0.03333333333333333,0.15707963267948966,0.05,14,0.897785378227124,0.375,0.0,0.0,0,0.0,8,3
03_1d_two_free_regions,cost_phase,rx_all,M1 (sweep),0.916297857297023,0.29166666666666663,0.39269908169872414,0.125,17,0.9219538467236172,0.375,-0.16666666666666666,-0.18749999999999997,-27,0.07210334583302946,8,3
03_1d_two_free_regions,cost_phase,rx_all,M2 (eigen),1.0471975511965976,0.3333333333333333,0.3,0.0954929658551372,44,0.7996322160074767,0.375,-0.125,-0.21700703414486278,0,-0.050218284883111086,8,3
03_1d_two_free_regions,cost_phase,rx_all,M3 (theory),1.5707963267948966,0.5,1.1659045405098132,0.3711189415908434,1,0.36022771536348347,0.375,0.04166666666666669,0.058618941590843444,-43,-0.4896227855271043,8,3
03_1d_two_free_regions,cost_phase,rx_all,M4 (grad),0.8933018280449184,0.28434680321275013,0.5235987755982989,0.16666666666666669,44,0.5421659837179379,0.375,-0.17398653012058318,-0.1458333333333333,0,-0.3076845171726499,8,3
03_1d_two_free_regions,cost_phase,rx_all,M5 (hybrid),0.5563236990731925,0.17708333333333331,0.2454369260617026,0.078125,57,0.9577244407664046,0.375,-0.28125,-0.23437499999999997,13,0.10787393987581684,8,3
03_1d_two_free_regions,cost_phase,rx_all,Experimental,1.4398966328953218,0.4583333333333333,0.9817477042468102,0.31249999999999994,44,0.8498505008905878,0.375,0.0,0.0,0,0.0,8,3
04_1d_clustered_medium,cost_phase,local_geometric,M1 (sweep),0.1308996938995747,0.041666666666666664,0.1308996938995747,0.041666666666666664,12,0.8512030150741178,0.2857142857142857,-0.225,-0.125,10,0.12199653062551308,14,4
04_1d_clustered_medium,cost_phase,local_geometric,M2 (eigen),1.0471975511965976,0.3333333333333333,0.24,0.07639437268410976,2,0.5494762929589958,0.2857142857142857,0.06666666666666665,-0.0902722939825569,0,-0.1797301914896089,14,4
04_1d_clustered_medium,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,0.7853981633974483,0.25,1,0.597140972584495,0.2857142857142857,0.23333333333333334,0.08333333333333334,-1,-0.13206551186410975,14,4
04_1d_clustered_medium,cost_phase,local_geometric,M4 (grad),0.8860813051366014,0.2820484393876163,1.5704874215670688,0.49990167241208855,2,0.2856221225739492,0.2857142857142857,0.015381772720949653,0.3332350057454219,0,-0.4435843618746555,14,4
04_1d_clustered_medium,cost_phase,local_geometric,M5 (hybrid),0.2617993877991494,0.08333333333333333,0.2617993877991494,0.08333333333333333,60,0.8735805768078663,0.2857142857142857,-0.18333333333333332,-0.08333333333333333,58,0.14437409235926157,14,4
04_1d_clustered_medium,cost_phase,local_geometric,Experimental,0.8377580409572781,0.26666666666666666,0.5235987755982988,0.16666666666666666,2,0.7292064844486047,0.2857142857142857,0.0,0.0,0,0.0,14,4
